Actress	2014	4.0	11	73.0	70.3333333333	78.3333333333	72.5	73	0.000861361636513	[('19-01-2014', 73), ('26-01-2014', 71), ('02-02-2014', 69), ('09-02-2014', 71), ('16-02-2014', 71), ('23-02-2014', 72), ('02-03-2014', 90), ('09-03-2014', 74), ('16-03-2014', 71), ('23-03-2014', 75), ('30-03-2014', 72), ('06-04-2014', 73)]
The Boss	2016	4.0	8	33.0	26.0	26.6666666667	53.5	31	0.262896174385	[('17-01-2016', 33), ('24-01-2016', 28), ('31-01-2016', 26), ('07-02-2016', 27), ('14-02-2016', 25), ('21-02-2016', 23), ('28-02-2016', 23), ('06-03-2016', 25), ('13-03-2016', 32), ('20-03-2016', 31), ('27-03-2016', 35), ('03-04-2016', 72)]
Fuga da Reuma Park	2016	12.0	15	0.0	0.333333333333	2.0	27.5	5	3.36111111111	[('25-09-2016', 0), ('02-10-2016', 0), ('09-10-2016', 0), ('16-10-2016', 0), ('23-10-2016', 1), ('30-10-2016', 1), ('06-11-2016', 1), ('13-11-2016', 2), ('20-11-2016', 3), ('27-11-2016', 6), ('04-12-2016', 11), ('11-12-2016', 44)]
Like Crazy	2016	5.0	17	43.0	50.3333333333	46.0	45.5	46	0.0238709281262	[('28-02-2016', 43), ('06-03-2016', 45), ('13-03-2016', 48), ('20-03-2016', 51), ('27-03-2016', 52), ('03-04-2016', 42), ('10-04-2016', 45), ('17-04-2016', 44), ('24-04-2016', 49), ('01-05-2016', 44), ('08-05-2016', 45), ('15-05-2016', 46)]
Like Crazy	2016	5.0	17	43.0	50.3333333333	46.0	45.5	46	0.0238709281262	[('28-02-2016', 43), ('06-03-2016', 45), ('13-03-2016', 48), ('20-03-2016', 51), ('27-03-2016', 52), ('03-04-2016', 42), ('10-04-2016', 45), ('17-04-2016', 44), ('24-04-2016', 49), ('01-05-2016', 44), ('08-05-2016', 45), ('15-05-2016', 46)]
Like Crazy	2016	5.0	17	43.0	50.3333333333	46.0	45.5	46	0.0238709281262	[('28-02-2016', 43), ('06-03-2016', 45), ('13-03-2016', 48), ('20-03-2016', 51), ('27-03-2016', 52), ('03-04-2016', 42), ('10-04-2016', 45), ('17-04-2016', 44), ('24-04-2016', 49), ('01-05-2016', 44), ('08-05-2016', 45), ('15-05-2016', 46)]
Like Crazy	2016	5.0	17	43.0	50.3333333333	46.0	45.5	46	0.0238709281262	[('28-02-2016', 43), ('06-03-2016', 45), ('13-03-2016', 48), ('20-03-2016', 51), ('27-03-2016', 52), ('03-04-2016', 42), ('10-04-2016', 45), ('17-04-2016', 44), ('24-04-2016', 49), ('01-05-2016', 44), ('08-05-2016', 45), ('15-05-2016', 46)]
Big News from Grand Rock	2014	9.0	18	0.0	0.0	4.33333333333	6.5	2	1.57986111111	[('29-06-2014', 0), ('06-07-2014', 0), ('13-07-2014', 0), ('20-07-2014', 0), ('27-07-2014', 0), ('03-08-2014', 0), ('10-08-2014', 0), ('17-08-2014', 0), ('24-08-2014', 13), ('31-08-2014', 0), ('07-09-2014', 13), ('14-09-2014', 0)]
Redemption	2014	3.0	23	37.0	34.3333333333	32.3333333333	31.0	33	-0.0555930707271	[('05-01-2014', 37), ('12-01-2014', 32), ('19-01-2014', 35), ('26-01-2014', 34), ('02-02-2014', 34), ('09-02-2014', 37), ('16-02-2014', 33), ('23-02-2014', 32), ('02-03-2014', 32), ('09-03-2014', 31), ('16-03-2014', 30), ('23-03-2014', 32)]
Redemption	2014	3.0	23	37.0	34.3333333333	32.3333333333	31.0	33	-0.0555930707271	[('05-01-2014', 37), ('12-01-2014', 32), ('19-01-2014', 35), ('26-01-2014', 34), ('02-02-2014', 34), ('09-02-2014', 37), ('16-02-2014', 33), ('23-02-2014', 32), ('02-03-2014', 32), ('09-03-2014', 31), ('16-03-2014', 30), ('23-03-2014', 32)]
Dirty Singles	2014	3.0	1	40.0	41.6666666667	47.6666666667	31.5	42	-0.050305458106	[('08-12-2013', 40), ('15-12-2013', 34), ('22-12-2013', 31), ('29-12-2013', 67), ('05-01-2014', 27), ('12-01-2014', 20), ('19-01-2014', 64), ('26-01-2014', 45), ('02-02-2014', 34), ('09-02-2014', 83), ('16-02-2014', 44), ('23-02-2014', 19)]
Viral	2016	7.0	29	61.0	66.3333333333	59.3333333333	63.0	63	0.0142781966666	[('08-05-2016', 61), ('15-05-2016', 63), ('22-05-2016', 65), ('29-05-2016', 62), ('05-06-2016', 72), ('12-06-2016', 79), ('19-06-2016', 60), ('26-06-2016', 60), ('03-07-2016', 58), ('10-07-2016', 61), ('17-07-2016', 60), ('24-07-2016', 66)]
$#*! My Dad Says	20102011	9.0	23	0	0	0	0	0	0	[]
$#*! My Dad Says	20102011	9.0	23	0	0	0	0	0	0	[]
$#*! My Dad Says	20102011	9.0	23	0	0	0	0	0	0	[]
$#*! My Dad Says	20102011	9.0	23	0	0	0	0	0	0	[]
$#*! My Dad Says	20102011	9.0	23	0	0	0	0	0	0	[]
$#*! My Dad Says	20102011	9.0	23	0	0	0	0	0	0	[]
A Stitch in Time: for $9.99	2014	3.0	5	0	0	0	0	0	0	[]
Guardians of the Galaxy	2014	8.0	1	3.0	4.0	6.33333333333	41.0	11	1.81464646465	[('11-05-2014', 3), ('18-05-2014', 10), ('25-05-2014', 4), ('01-06-2014', 4), ('08-06-2014', 4), ('15-06-2014', 5), ('22-06-2014', 5), ('29-06-2014', 5), ('06-07-2014', 9), ('13-07-2014', 10), ('20-07-2014', 18), ('27-07-2014', 64)]
The Jungle Book	2016	4.0	15	3.0	5.66666666667	8.0	70.0	17	2.63518518519	[('24-01-2016', 3), ('31-01-2016', 3), ('07-02-2016', 9), ('14-02-2016', 4), ('21-02-2016', 4), ('28-02-2016', 4), ('06-03-2016', 4), ('13-03-2016', 7), ('20-03-2016', 13), ('27-03-2016', 15), ('03-04-2016', 40), ('10-04-2016', 100)]
Guardians of the Galaxy	2014	8.0	1	3.0	4.0	6.33333333333	41.0	11	1.81464646465	[('11-05-2014', 3), ('18-05-2014', 10), ('25-05-2014', 4), ('01-06-2014', 4), ('08-06-2014', 4), ('15-06-2014', 5), ('22-06-2014', 5), ('29-06-2014', 5), ('06-07-2014', 9), ('13-07-2014', 10), ('20-07-2014', 18), ('27-07-2014', 64)]
The Dark Knight Rises	2012	7.0	20	0	0	0	0	0	0	[]
My Mad Fat Diary	2013	1.0	14	0.0	0.0	2.33333333333	12.5	3	1.79444444444	[('28-10-2012', 0), ('04-11-2012', 0), ('11-11-2012', 0), ('18-11-2012', 0), ('25-11-2012', 0), ('02-12-2012', 0), ('09-12-2012', 1), ('16-12-2012', 3), ('23-12-2012', 3), ('30-12-2012', 4), ('06-01-2013', 4), ('13-01-2013', 21)]
My Old Lady	2014	11.0	21	23.0	84.3333333333	56.3333333333	79.5	62	0.877166774332	[('31-08-2014', 23), ('07-09-2014', 44), ('14-09-2014', 71), ('21-09-2014', 82), ('28-09-2014', 100), ('05-10-2014', 64), ('12-10-2014', 67), ('19-10-2014', 56), ('26-10-2014', 46), ('02-11-2014', 41), ('09-11-2014', 64), ('16-11-2014', 95)]
