Movie,Reaction
The 'Human' Factor ,"{'neg': 0.043666666666666666, 'neu': 0.46799999999999997, 'pos': 0.48833333333333334, 'compound': 0.2971}"
Disco Godfather ,"{'neg': 0.058473684210526324, 'neu': 0.8346315789473684, 'pos': 0.10689473684210526, 'compound': 0.13376842105263156}"
Sweet Hostage ,"{'neg': 0.0, 'neu': 0.283, 'pos': 0.717, 'compound': 0.9713}"
The Eagle Has Landed ,"{'neg': 0.06644444444444444, 'neu': 0.7361666666666667, 'pos': 0.19738888888888886, 'compound': 0.31751111111111113}"
Mansion of the Doomed ,"{'neg': 0.692, 'neu': 0.308, 'pos': 0.0, 'compound': -0.9048}"
Night Creature ,"{'neg': 0.06, 'neu': 0.6687647058823529, 'pos': 0.27117647058823524, 'compound': 0.24851176470588243}"
The Outlaw Josey Wales ,"{'neg': 0.06727272727272728, 'neu': 0.6894545454545454, 'pos': 0.24327272727272725, 'compound': 0.3901090909090909}"
Young Pioneers' Christmas ,"{'neg': 0.03048, 'neu': 0.6519999999999999, 'pos': 0.31751999999999997, 'compound': 0.356524}"
The Three Musketeers ,"{'neg': 0.10125925925925926, 'neu': 0.7802592592592591, 'pos': 0.1184814814814815, 'compound': 0.054933333333333334}"
Jaws ,"{'neg': 0.04915, 'neu': 0.8946000000000002, 'pos': 0.05626666666666667, 'compound': 0.0016049999999999973}"
Avalanche Express ,"{'neg': 0.043333333333333335, 'neu': 0.8506666666666667, 'pos': 0.10599999999999998, 'compound': 0.25781666666666664}"
Act of Vengeance,"{'neg': 0.0667037037037037, 'neu': 0.691148148148148, 'pos': 0.24218518518518514, 'compound': 0.2063333333333333}"
Telefon ,"{'neg': 0.0, 'neu': 0.9253333333333332, 'pos': 0.07466666666666667, 'compound': 0.12673333333333334}"
Dr. Strange ,"{'neg': 0.10010000000000001, 'neu': 0.74085, 'pos': 0.15905, 'compound': 0.15451999999999996}"
Love and the Midnight Auto Supply ,"{'neg': 0.0156, 'neu': 0.826, 'pos': 0.1584, 'compound': 0.45515999999999995}"
Death Be Not Proud Recognition by the Other... ,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
Equus ,"{'neg': 0.07294117647058825, 'neu': 0.8147058823529414, 'pos': 0.1123529411764706, 'compound': 0.12177058823529412}"
Space Is the Place ,"{'neg': 0.0, 'neu': 0.5, 'pos': 0.5, 'compound': 0.21075}"
Murder on Flight 502 ,"{'neg': 0.0, 'neu': 0.765, 'pos': 0.23500000000000001, 'compound': 0.2650857142857143}"
Lucky Lady ,"{'neg': 0.0, 'neu': 0.29, 'pos': 0.71, 'compound': 0.49015000000000003}"
Harry and Walter Go to New York ,"{'neg': 0.0, 'neu': 0.164, 'pos': 0.836, 'compound': 0.6239}"
Deathsport ,"{'neg': 0.1155, 'neu': 0.6450714285714286, 'pos': 0.16792857142857143, 'compound': 0.0012999999999999917}"
Dawn of the Dead ,"{'neg': 0.10223076923076921, 'neu': 0.6853846153846153, 'pos': 0.21250000000000005, 'compound': 0.20078461538461537}"
Spasmo ,"{'neg': 0.0385, 'neu': 0.78075, 'pos': 0.18075, 'compound': 0.111175}"
The Mysterious Monsters ,"{'neg': 0.1495714285714286, 'neu': 0.8342857142857143, 'pos': 0.016, 'compound': -0.1686}"
Return Engagement ,"{'neg': 0.112, 'neu': 0.6718124999999999, 'pos': 0.21618750000000003, 'compound': 0.1858625}"
Car Wash ,"{'neg': 0.097125, 'neu': 0.5955, 'pos': 0.307375, 'compound': 0.4597625000000001}"
Promised Land,"{'neg': 0.09014285714285716, 'neu': 0.7861020408163266, 'pos': 0.12381632653061225, 'compound': -0.058904081632653066}"
The Runner Stumbles ,"{'neg': 0.051551724137931035, 'neu': 0.7329310344827585, 'pos': 0.21551724137931033, 'compound': 0.2279103448275862}"
God Told Me To ,"{'neg': 0.18700000000000003, 'neu': 0.731, 'pos': 0.082, 'compound': -0.07110000000000001}"
The Wild Geese ,"{'neg': 0.1011904761904762, 'neu': 0.7410952380952381, 'pos': 0.15771428571428572, 'compound': 0.04135238095238095}"
Summer of My German Soldier ,"{'neg': 0.13306896551724137, 'neu': 0.736, 'pos': 0.13086206896551725, 'compound': -0.018610344827586202}"
The Boogey Man ,"{'neg': 0.10633333333333334, 'neu': 0.7476666666666666, 'pos': 0.1462222222222222, 'compound': -0.013544444444444446}"
