Movie,Reaction
The Rebels ,"{'neg': 0.09122222222222222, 'neu': 0.8496111111111111, 'pos': 0.059222222222222225, 'compound': -0.13450555555555557}"
Hollywood High ,"{'neg': 0.0, 'neu': 0.408, 'pos': 0.592, 'compound': 0.4404}"
The Deer Hunter ,"{'neg': 0.10956250000000001, 'neu': 0.8031875, 'pos': 0.0873125, 'compound': -0.10088750000000002}"
Can I Do It 'Till I Need Glasses? ,"{'neg': 0.1265, 'neu': 0.7484999999999999, 'pos': 0.1245, 'compound': -0.05475000000000002}"
The Little Girl Who Lives Down the Lane ,"{'neg': 0.05846666666666667, 'neu': 0.7536666666666666, 'pos': 0.1878666666666667, 'compound': 0.19435333333333332}"
Uchu ,"{'neg': 0.12639999999999998, 'neu': 0.7478, 'pos': 0.12593333333333334, 'compound': 0.06759333333333334}"
Marathon Man ,"{'neg': 0.352, 'neu': 0.648, 'pos': 0.0, 'compound': -0.5859}"
Hot Lead and Cold Feet Gad. The Wind in the Willows. ,"{'neg': 0.0, 'neu': 0.9373333333333335, 'pos': 0.06266666666666666, 'compound': 0.19063333333333332}"
Drive-In ,"{'neg': 0.09477777777777778, 'neu': 0.7748148148148148, 'pos': 0.13040740740740742, 'compound': 0.16786296296296294}"
A Quiet Day in Belfast,"{'neg': 0.486, 'neu': 0.514, 'pos': 0.0, 'compound': -0.71645}"
Beyond the Bermuda Triangle ,"{'neg': 0.057928571428571426, 'neu': 0.7537142857142858, 'pos': 0.1883571428571429, 'compound': 0.21128571428571427}"
Scream of the Wolf ,"{'neg': 0.078, 'neu': 0.7387499999999999, 'pos': 0.1832083333333334, 'compound': 0.20517500000000002}"
The Wild Party ,"{'neg': 0.0, 'neu': 0.6586666666666666, 'pos': 0.3413333333333333, 'compound': 0.5484333333333333}"
In Praise of Older Women ,"{'neg': 0.018222222222222223, 'neu': 0.8402222222222222, 'pos': 0.14155555555555555, 'compound': 0.1802888888888889}"
Zulu Dawn ,"{'neg': 0.1435357142857143, 'neu': 0.6951785714285715, 'pos': 0.16132142857142856, 'compound': -0.03497142857142856}"
Desperate Living ,"{'neg': 0.1795, 'neu': 0.8205, 'pos': 0.0, 'compound': -0.23704999999999998}"
Animal House ,"{'neg': 0.15347619047619046, 'neu': 0.7387619047619047, 'pos': 0.10780952380952383, 'compound': 0.04942380952380952}"
The Death Collector ,"{'neg': 0.0, 'neu': 0.8160000000000001, 'pos': 0.184, 'compound': 0.436}"
Victory at Entebbe ,"{'neg': 0.0044444444444444444, 'neu': 0.7529999999999999, 'pos': 0.24255555555555552, 'compound': 0.4507111111111111}"
Echoes of a Summer ,"{'neg': 0.04128571428571428, 'neu': 0.8241428571428572, 'pos': 0.13457142857142856, 'compound': 0.2891142857142857}"
The Pack ,"{'neg': 0.16675, 'neu': 0.7426428571428573, 'pos': 0.09064285714285715, 'compound': -0.1911214285714286}"
Eaten Alive ,"{'neg': 0.05885714285714285, 'neu': 0.9411428571428572, 'pos': 0.0, 'compound': -0.02205714285714286}"
Convoy ,"{'neg': 0.0073999999999999995, 'neu': 0.8897, 'pos': 0.10300000000000001, 'compound': 0.26144}"
Are You Being Served? ,"{'neg': 0.061727272727272735, 'neu': 0.6495454545454545, 'pos': 0.2887272727272727, 'compound': 0.33844545454545455}"
Holocaust 2000 ,"{'neg': 0.3333333333333333, 'neu': 0.351, 'pos': 0.31566666666666665, 'compound': 0.004866666666666686}"
Kingdom of the Spiders ,"{'neg': 0.15184848484848487, 'neu': 0.7505151515151516, 'pos': 0.09763636363636363, 'compound': -0.12143030303030303}"
Go Tell the Spartans ,"{'neg': 0.3625, 'neu': 0.6060000000000001, 'pos': 0.0315, 'compound': -0.8841}"
Led Zeppelin Naglfar?,"{'neg': 0.0, 'neu': 0.9235, 'pos': 0.0765, 'compound': 0.2900375}"
Boss Nigger ,"{'neg': 0.12664705882352942, 'neu': 0.6574705882352941, 'pos': 0.2158235294117647, 'compound': 0.07028823529411767}"
The Pink Panther Strikes Again ,"{'neg': 0.03375, 'neu': 0.72475, 'pos': 0.2415, 'compound': 0.35006250000000005}"
Fast Charlie... ,"{'neg': 0.024857142857142855, 'neu': 0.6627142857142856, 'pos': 0.3124285714285714, 'compound': 0.44172857142857147}"
The China Syndrome ,"{'neg': 0.0, 'neu': 0.8667999999999999, 'pos': 0.13319999999999999, 'compound': 0.40747999999999995}"
Roseland ,"{'neg': 0.055588235294117654, 'neu': 0.7906470588235296, 'pos': 0.15376470588235294, 'compound': 0.11146470588235294}"
The Black Hole ,"{'neg': 0.058499999999999996, 'neu': 0.845, 'pos': 0.09644444444444443, 'compound': 0.08106666666666665}"
Sherlock Holmes in New York ,"{'neg': 0.12279999999999999, 'neu': 0.8398, 'pos': 0.0374, 'compound': -0.03466000000000001}"
Child of Glass ,"{'neg': 0.0796086956521739, 'neu': 0.5970434782608696, 'pos': 0.32334782608695656, 'compound': 0.26786956521739136}"
The Spiral Staircase ,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
Hollywood Boulevard ,"{'neg': 0.0, 'neu': 0.58775, 'pos': 0.16225, 'compound': 0.20305}"
The Black Bird ,"{'neg': 0.07382142857142857, 'neu': 0.669142857142857, 'pos': 0.25703571428571426, 'compound': 0.24480000000000005}"
Thunderbolt and Lightfoot,"{'neg': 0.07783333333333334, 'neu': 0.6908333333333333, 'pos': 0.23149999999999996, 'compound': 0.29535}"
Uptown Saturday Night  ,"{'neg': 0.059199999999999996, 'neu': 0.6472, 'pos': 0.1936, 'compound': 0.15684}"
Welcome to L.A. ,"{'neg': 0.02072972972972973, 'neu': 0.7938648648648648, 'pos': 0.18543243243243246, 'compound': 0.2289783783783784}"
Panic in Echo Park ,"{'neg': 0.08982857142857144, 'neu': 0.7784571428571428, 'pos': 0.13168571428571427, 'compound': 0.07482571428571429}"
She's Dressed to Kill ,"{'neg': 0.10766666666666667, 'neu': 0.8923333333333333, 'pos': 0.0, 'compound': -0.21619999999999998}"
Boulevard Nights ,"{'neg': 0.1383947368421053, 'neu': 0.7808684210526315, 'pos': 0.08076315789473686, 'compound': -0.06453684210526316}"
The Manitou ,"{'neg': 0.1005, 'neu': 0.788142857142857, 'pos': 0.11132142857142857, 'compound': 0.05192857142857143}"
3 Women ,"{'neg': 0.07385185185185186, 'neu': 0.7122962962962961, 'pos': 0.21377777777777776, 'compound': 0.2127888888888889}"
Don Giovanni ,"{'neg': 0.11313043478260872, 'neu': 0.7904347826086958, 'pos': 0.09647826086956524, 'compound': 0.07020869565217393}"
White Line Fever ,"{'neg': 0.025714285714285714, 'neu': 0.784, 'pos': 0.19028571428571425, 'compound': 0.36724285714285715}"
Roller Boogie ,"{'neg': 0.015555555555555557, 'neu': 0.788, 'pos': 0.19644444444444445, 'compound': 0.31245}"
Road Movie,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
Stony Island ,"{'neg': 0.0135, 'neu': 0.7115625000000001, 'pos': 0.2124375, 'compound': 0.277325}"
The In-Laws ,"{'neg': 0.15228571428571427, 'neu': 0.5812857142857143, 'pos': 0.2664285714285714, 'compound': 0.12035714285714286}"
The Hatfields ,"{'neg': 0.17257894736842105, 'neu': 0.6810526315789474, 'pos': 0.14636842105263156, 'compound': -0.03383157894736842}"
This Is a Hijack ,"{'neg': 0.12175, 'neu': 0.56525, 'pos': 0.063, 'compound': -0.100075}"
The Private Files of J. Edgar Hoover ,"{'neg': 0.03486666666666667, 'neu': 0.7789333333333334, 'pos': 0.1862, 'compound': 0.28872666666666663}"
Shell Game ,"{'neg': 0.07713333333333332, 'neu': 0.6479333333333334, 'pos': 0.20826666666666668, 'compound': 0.36316666666666664}"
Torn Between Two Lovers ,"{'neg': 0.0755, 'neu': 0.7076666666666666, 'pos': 0.21683333333333332, 'compound': 0.35575}"
Someone I Touched ,"{'neg': 0.04642857142857143, 'neu': 0.797047619047619, 'pos': 0.1565238095238095, 'compound': 0.2202619047619048}"
The Prisoner of Zenda ,"{'neg': 0.116, 'neu': 0.884, 'pos': 0.0, 'compound': -0.13775}"
Angel City ,"{'neg': 0.07376190476190475, 'neu': 0.7819047619047618, 'pos': 0.14423809523809522, 'compound': 0.1766047619047619}"
Breaker Morant ,"{'neg': 0.06662499999999999, 'neu': 0.72275, 'pos': 0.21068750000000003, 'compound': 0.18770625000000002}"
Jaguar ,"{'neg': 0.0, 'neu': 0.9043636363636364, 'pos': 0.09563636363636364, 'compound': 0.15124545454545454}"
Rollerball Rollin' ,"{'neg': 0.13028571428571428, 'neu': 0.8044285714285714, 'pos': 0.0652857142857143, 'compound': -0.11817142857142858}"
Midnight Express ,"{'neg': 0.12438095238095237, 'neu': 0.6647142857142857, 'pos': 0.2108571428571429, 'compound': 0.11632857142857142}"
The Day It Came to Earth ,"{'neg': 0.0676875, 'neu': 0.7631249999999998, 'pos': 0.1691875, 'compound': 0.12053750000000002}"
Escape from Alcatraz ,"{'neg': 0.024, 'neu': 0.7505454545454545, 'pos': 0.22536363636363638, 'compound': 0.41314545454545454}"
Jian hua yan yu jiang   ,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
Jaws 2 ,"{'neg': 0.045000000000000005, 'neu': 0.6844444444444444, 'pos': 0.2705555555555556, 'compound': 0.17498888888888886}"
Bugsy Malone ,"{'neg': 0.05766666666666667, 'neu': 0.7812222222222223, 'pos': 0.16116666666666665, 'compound': 0.06683888888888888}"
Tell Me Where It Hurts ,"{'neg': 0.0, 'neu': 0.8878333333333334, 'pos': 0.11216666666666668, 'compound': 0.2987166666666667}"
A Little Night Music ,"{'neg': 0.13785714285714287, 'neu': 0.7704285714285716, 'pos': 0.09171428571428572, 'compound': 0.009957142857142855}"
Die Laughing ,"{'neg': 0.0788, 'neu': 0.7584, 'pos': 0.1626, 'compound': 0.21238}"
Burnt Offerings ,"{'neg': 0.10275, 'neu': 0.7428333333333333, 'pos': 0.15438888888888888, 'compound': 0.047944444444444435}"
Between the Lines ,"{'neg': 0.0, 'neu': 0.8885555555555555, 'pos': 0.11144444444444446, 'compound': 0.1618777777777778}"
Nickelodeon ,"{'neg': 0.04033333333333333, 'neu': 0.8268333333333334, 'pos': 0.13283333333333333, 'compound': 0.19748333333333332}"
The Great Scout & Cathouse ,"{'neg': 0.04276470588235295, 'neu': 0.7313529411764705, 'pos': 0.22588235294117648, 'compound': 0.17629999999999998}"
Satan's Triangle ,"{'neg': 0.1112888888888889, 'neu': 0.723777777777778, 'pos': 0.16493333333333332, 'compound': -0.04640666666666667}"
Gizmo! ,"{'neg': 0.023899999999999998, 'neu': 0.49399999999999994, 'pos': 0.3821, 'compound': 0.5155199999999999}"
Satan's Cheerleaders ,"{'neg': 0.238, 'neu': 0.613, 'pos': 0.15, 'compound': -0.3167}"
Ravagers ,"{'neg': 0.0138, 'neu': 0.8745333333333333, 'pos': 0.11166666666666665, 'compound': 0.2935466666666667}"
The Villain ,"{'neg': 0.14233333333333334, 'neu': 0.7026666666666666, 'pos': 0.15466666666666665, 'compound': 0.003933333333333335}"
Bud and Lou ,"{'neg': 0.06928571428571428, 'neu': 0.758, 'pos': 0.17271428571428574, 'compound': 0.2561}"
Hot Stuff ,"{'neg': 0.047, 'neu': 0.40925, 'pos': 0.29374999999999996, 'compound': 0.2416}"
Greased Lightning ,"{'neg': 0.064375, 'neu': 0.6458750000000001, 'pos': 0.28974999999999995, 'compound': 0.27361250000000004}"
All the President's Men ,"{'neg': 0.09533333333333334, 'neu': 0.7264444444444444, 'pos': 0.1781666666666667, 'compound': 0.07844999999999999}"
Firepower ,"{'neg': 0.046, 'neu': 0.8244999999999999, 'pos': 0.1295, 'compound': 0.17977}"
The Wiz ,"{'neg': 0.1788125, 'neu': 0.6763750000000001, 'pos': 0.1448125, 'compound': 0.04931875}"
The Betsy ,"{'neg': 0.11778048780487804, 'neu': 0.7330487804878049, 'pos': 0.12482926829268295, 'compound': 0.037119512195121954}"
Horror High ,"{'neg': 0.07513793103448276, 'neu': 0.6926896551724139, 'pos': 0.23213793103448277, 'compound': 0.22911379310344826}"
The Last Ride of the Dalton Gang ,"{'neg': 0.0, 'neu': 0.766, 'pos': 0.23399999999999999, 'compound': 0.3902}"
Bobby Deerfield ,"{'neg': 0.18341176470588236, 'neu': 0.6752352941176469, 'pos': 0.1413529411764706, 'compound': 0.032376470588235284}"
The Giant Spider Invasion ,"{'neg': 0.04239285714285714, 'neu': 0.7058214285714285, 'pos': 0.2518214285714286, 'compound': 0.20805357142857142}"
Murder by Natural Causes ,"{'neg': 0.015500000000000002, 'neu': 0.5450384615384615, 'pos': 0.401, 'compound': 0.4064846153846154}"
Sanctuary of Fear ,"{'neg': 0.06233333333333333, 'neu': 0.7413333333333334, 'pos': 0.19633333333333333, 'compound': 0.32549999999999996}"
Starting Over ,"{'neg': 0.0, 'neu': 0.6565, 'pos': 0.3435, 'compound': 0.66835}"
The Gauntlet ,"{'neg': 0.055499999999999994, 'neu': 0.6011666666666667, 'pos': 0.3433333333333333, 'compound': 0.19603333333333336}"
Capone ,"{'neg': 0.07400000000000001, 'neu': 0.5482727272727274, 'pos': 0.3777272727272727, 'compound': 0.22014545454545456}"
Sorcerer ,"{'neg': 0.029185185185185186, 'neu': 0.690037037037037, 'pos': 0.28074074074074074, 'compound': 0.3558925925925926}"
The Witch Who Came from the Sea ,"{'neg': 0.02419047619047619, 'neu': 0.8980476190476191, 'pos': 0.07766666666666666, 'compound': -0.02839999999999999}"
Fighting Mad ,"{'neg': 0.0, 'neu': 0.5900000000000001, 'pos': 0.41000000000000003, 'compound': 0.48865000000000003}"
Diamonds ,"{'neg': 0.13275, 'neu': 0.61725, 'pos': 0.0, 'compound': -0.131375}"
Rabid ,"{'neg': 0.15, 'neu': 0.751, 'pos': 0.099, 'compound': -0.128}"
Nightmare in Blood ,"{'neg': 0.0, 'neu': 0.5986666666666667, 'pos': 0.4013333333333333, 'compound': 0.34836666666666666}"
Tunnel Vision ,"{'neg': 0.11376923076923076, 'neu': 0.7942307692307693, 'pos': 0.09207692307692307, 'compound': -0.13763076923076928}"
Oliver's Story ,"{'neg': 0.1765, 'neu': 0.68225, 'pos': 0.14125, 'compound': 0.124475}"
The Toolbox Murders ,"{'neg': 0.28225, 'neu': 0.6427499999999999, 'pos': 0.075, 'compound': -0.04012500000000001}"
The Food of the Gods ,"{'neg': 0.09866666666666667, 'neu': 0.49333333333333335, 'pos': 0.408, 'compound': 0.13253333333333334}"
Thirst ,"{'neg': 0.14833333333333334, 'neu': 0.5003333333333333, 'pos': 0.3515, 'compound': 0.14886666666666665}"
Time After Time ,"{'neg': 0.081, 'neu': 0.7968947368421052, 'pos': 0.12215789473684212, 'compound': 0.01095789473684209}"
The Duellists ,"{'neg': 0.12175, 'neu': 0.8042499999999999, 'pos': 0.074, 'compound': 0.012750000000000011}"
The Amazing Howard Hughes ,"{'neg': 0.05566666666666667, 'neu': 0.7530416666666664, 'pos': 0.19129166666666667, 'compound': 0.21812083333333335}"
Outrageous! ,"{'neg': 0.0, 'neu': 0.497, 'pos': 0.503, 'compound': 0.7436499999999999}"
The First Nudie Musical ,"{'neg': 0.08333333333333333, 'neu': 0.7159166666666668, 'pos': 0.20074999999999998, 'compound': 0.2038}"
Welcome to Arrow Beach  ,"{'neg': 0.006352941176470588, 'neu': 0.8971764705882352, 'pos': 0.09647058823529413, 'compound': 0.1941235294117647}"
Look What's Happened to Rosemary's Baby ,"{'neg': 0.0, 'neu': 0.774875, 'pos': 0.22512500000000002, 'compound': 0.128975}"
Breakheart Pass ,"{'neg': 0.0212, 'neu': 0.5740000000000001, 'pos': 0.4048, 'compound': 0.63164}"
Anatomy of a Seduction ,"{'neg': 0.0, 'neu': 0.7135, 'pos': 0.2865, 'compound': 0.6183}"
The Hindenburg ,"{'neg': 0.060384615384615384, 'neu': 0.8131538461538462, 'pos': 0.12646153846153846, 'compound': 0.12508205128205124}"
Manhattan Fun ,"{'neg': 0.11124999999999999, 'neu': 0.707375, 'pos': 0.181375, 'compound': 0.0478375}"
Scott Joplin ,"{'neg': 0.04583333333333334, 'neu': 0.7948333333333334, 'pos': 0.15925000000000003, 'compound': 0.13331666666666664}"
Reisen til julestjernen ,"{'neg': 0.0, 'neu': 0.920111111111111, 'pos': 0.07988888888888888, 'compound': 0.12645555555555557}"
The Wobblies ,"{'neg': 0.023250000000000003, 'neu': 0.778, 'pos': 0.19875, 'compound': 0.327525}"
The Bingo Long Traveling ,"{'neg': 0.0, 'neu': 0.5125, 'pos': 0.48750000000000004, 'compound': 0.5847}"
Royal Flash ,"{'neg': 0.0, 'neu': 0.8141666666666666, 'pos': 0.18583333333333332, 'compound': 0.24788333333333334}"
Bizalom ,"{'neg': 0.09553846153846154, 'neu': 0.7340769230769231, 'pos': 0.17038461538461538, 'compound': 0.2301153846153846}"
Alligator ,"{'neg': 0.08023809523809525, 'neu': 0.759, 'pos': 0.16076190476190474, 'compound': 0.10286666666666665}"
French Connection II ,"{'neg': 0.08388461538461539, 'neu': 0.7276153846153846, 'pos': 0.18846153846153843, 'compound': 0.22846923076923076}"
Someone's Watching Me! ,"{'neg': 0.06746666666666666, 'neu': 0.7996666666666666, 'pos': 0.1328, 'compound': 0.07783999999999999}"
Adventures of a Private Eye ,"{'neg': 0.10233333333333333, 'neu': 0.5286666666666666, 'pos': 0.369, 'compound': 0.3921666666666667}"
Tommy ,"{'neg': 0.040875, 'neu': 0.900625, 'pos': 0.058499999999999996, 'compound': 0.0402125}"
In the Glitter Palace ,"{'neg': 0.126875, 'neu': 0.633625, 'pos': 0.23945833333333333, 'compound': 0.20310833333333334}"
Angela ,"{'neg': 0.00775, 'neu': 0.64125, 'pos': 0.35075, 'compound': 0.33999999999999997}"
Buffet Froid ,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
Bound for Glory ,"{'neg': 0.04151724137931034, 'neu': 0.772103448275862, 'pos': 0.1863793103448276, 'compound': 0.23685862068965513}"
And Baby Makes Six ,"{'neg': 0.10333333333333333, 'neu': 0.7810000000000001, 'pos': 0.11566666666666665, 'compound': 0.05661111111111112}"
Rich Kids ,"{'neg': 0.14100000000000001, 'neu': 0.7, 'pos': 0.15899999999999997, 'compound': 0.041060000000000006}"
Zuma Beach ,"{'neg': 0.06991666666666667, 'neu': 0.7398333333333333, 'pos': 0.1902083333333333, 'compound': 0.17205}"
Stingray ,"{'neg': 0.0, 'neu': 0.7200000000000001, 'pos': 0.28, 'compound': 0.6534666666666666}"
Cannibal Holocaust ,"{'neg': 0.1416923076923077, 'neu': 0.7202307692307692, 'pos': 0.138, 'compound': 0.06453076923076922}"
The Blank Generation ,"{'neg': 0.18306250000000002, 'neu': 0.630125, 'pos': 0.1868125, 'compound': -0.0312625}"
Coma ,"{'neg': 0.11283333333333334, 'neu': 0.7332083333333332, 'pos': 0.15395833333333336, 'compound': 0.05113750000000001}"
The Triangle Factory Fire Scandal ,"{'neg': 0.05433333333333334, 'neu': 0.5835, 'pos': 0.3621666666666667, 'compound': 0.3693166666666667}"
Breaking Point ,"{'neg': 0.21350000000000005, 'neu': 0.6216875000000001, 'pos': 0.16475000000000004, 'compound': -0.097575}"
The Greatest ,"{'neg': 0.0710909090909091, 'neu': 0.6975454545454546, 'pos': 0.23136363636363635, 'compound': 0.24530909090909095}"
Rosebud jew propaganda ,"{'neg': 0.10683333333333334, 'neu': 0.8005, 'pos': 0.09266666666666667, 'compound': -0.04548333333333335}"
Tom Horn ,"{'neg': 0.0318, 'neu': 0.6006, 'pos': 0.3676, 'compound': 0.34914}"
The Miracle Worker ,"{'neg': 0.08742857142857144, 'neu': 0.7903333333333334, 'pos': 0.12223809523809523, 'compound': 0.13186666666666666}"
Rooster Cogburn ,"{'neg': 0.18183333333333332, 'neu': 0.6318333333333334, 'pos': 0.18633333333333332, 'compound': 0.14676666666666668}"
Defiance Zus ,"{'neg': 0.14133333333333334, 'neu': 0.719, 'pos': 0.13966666666666666, 'compound': -0.13201666666666667}"
The Main Event ,"{'neg': 0.07333333333333333, 'neu': 0.6843333333333333, 'pos': 0.242, 'compound': 0.22319999999999998}"
Richard Pryor ,"{'neg': 0.16370833333333334, 'neu': 0.65525, 'pos': 0.18104166666666666, 'compound': 0.086375}"
Black Market Baby ,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
Rabbit Test ,"{'neg': 0.033736842105263155, 'neu': 0.7050000000000001, 'pos': 0.26126315789473686, 'compound': 0.29610000000000003}"
Ratataplan ,"{'neg': 0.0, 'neu': 0.7054285714285715, 'pos': 0.29457142857142854, 'compound': 0.4027571428571428}"
The Passage ,"{'neg': 0.09214814814814813, 'neu': 0.6214814814814815, 'pos': 0.21229629629629632, 'compound': 0.18902222222222223}"
Smile ,"{'neg': 0.053375, 'neu': 0.8218749999999999, 'pos': 0.12462500000000001, 'compound': -0.0311125}"
Apocalypse Now ,"{'neg': 0.19791666666666666, 'neu': 0.6869999999999999, 'pos': 0.11499999999999999, 'compound': -0.10065000000000002}"
Scum ,"{'neg': 0.076, 'neu': 0.4961666666666666, 'pos': 0.42783333333333334, 'compound': 0.3034666666666667}"
The Duchess and the Dirtwater ,"{'neg': 0.0, 'neu': 0.7479999999999999, 'pos': 0.252, 'compound': 0.24503333333333333}"
The Big Fix ,"{'neg': 0.08519354838709678, 'neu': 0.8462580645161292, 'pos': 0.06861290322580646, 'compound': 0.060190322580645175}"
Penitentiary ,"{'neg': 0.1410909090909091, 'neu': 0.6547272727272727, 'pos': 0.20427272727272722, 'compound': 0.17572727272727276}"
A Question of Love ,"{'neg': 0.09630000000000001, 'neu': 0.5840000000000001, 'pos': 0.31980000000000003, 'compound': 0.37075}"
Hardcore ,"{'neg': 0.04114285714285715, 'neu': 0.7316428571428572, 'pos': 0.22721428571428567, 'compound': 0.2981}"
Freedom Road ,"{'neg': 0.031, 'neu': 0.8466666666666667, 'pos': 0.12233333333333334, 'compound': 0.22453333333333333}"
Caravans ,"{'neg': 0.12, 'neu': 0.7889411764705881, 'pos': 0.09111764705882354, 'compound': 0.0386470588235294}"
Cheech and Chong's Next Movie ,"{'neg': 0.0, 'neu': 0.9583333333333334, 'pos': 0.041666666666666664, 'compound': 0.08333333333333333}"
Paul Robeson ,"{'neg': 0.0194, 'neu': 0.63216, 'pos': 0.30844, 'compound': 0.330368}"
The Serpent's Egg ,"{'neg': 0.0, 'neu': 0.9471428571428572, 'pos': 0.05285714285714286, 'compound': 0.12747142857142857}"
The American Success Company ,"{'neg': 0.0, 'neu': 0.4785, 'pos': 0.27149999999999996, 'compound': 0.375025}"
The Squeeze ,"{'neg': 0.047799999999999995, 'neu': 0.7663999999999999, 'pos': 0.1858, 'compound': 0.18123000000000003}"
The Human Tornado ,"{'neg': 0.059000000000000004, 'neu': 0.6930000000000001, 'pos': 0.24800000000000003, 'compound': 0.24197777777777776}"
Keoma Ja ,"{'neg': 0.24, 'neu': 0.3935, 'pos': 0.36675, 'compound': 0.199625}"
Audrey Rose ,"{'neg': 0.06081481481481482, 'neu': 0.7224074074074073, 'pos': 0.2167407407407407, 'compound': 0.21242962962962966}"
Cousin cousine ,"{'neg': 0.1045, 'neu': 0.7635000000000001, 'pos': 0.132, 'compound': 0.07750000000000001}"
That's Entertainment! ,"{'neg': 0.0465, 'neu': 0.9535, 'pos': 0.0, 'compound': -0.1611}"
Zandy's Bride ,"{'neg': 0.0665, 'neu': 0.7642, 'pos': 0.1693, 'compound': 0.25727}"
Female Trouble ,"{'neg': 0.26585714285714285, 'neu': 0.5001428571428571, 'pos': 0.234, 'compound': 0.0989}"
The Return of the King ,"{'neg': 0.057296296296296303, 'neu': 0.8373333333333334, 'pos': 0.10529629629629629, 'compound': 0.10065555555555557}"
The Turning Point ,"{'neg': 0.015535714285714286, 'neu': 0.8480357142857143, 'pos': 0.13642857142857143, 'compound': 0.2587}"
Brothers ,"{'neg': 0.050923076923076925, 'neu': 0.5374615384615384, 'pos': 0.4116153846153846, 'compound': 0.39198461538461543}"
Where the Red Fern Grows ,"{'neg': 0.07177777777777777, 'neu': 0.7207777777777777, 'pos': 0.20744444444444443, 'compound': 0.2681777777777778}"
Uncle Joe Shannon ,"{'neg': 0.08533333333333334, 'neu': 0.7182666666666667, 'pos': 0.12973333333333334, 'compound': 0.06428666666666666}"
S*P*Y*S,"{'neg': 0.0626, 'neu': 0.7792666666666668, 'pos': 0.15813333333333332, 'compound': 0.19866}"
Old Boyfriends ,"{'neg': 0.0782, 'neu': 0.6205999999999999, 'pos': 0.3014, 'compound': -0.055360000000000006}"
The Master Gunfighter ,"{'neg': 0.01922222222222222, 'neu': 0.8111111111111112, 'pos': 0.1696666666666667, 'compound': 0.17855555555555558}"
"Cornbread, Earl and Me ","{'neg': 0.09099999999999998, 'neu': 0.7769090909090909, 'pos': 0.1320909090909091, 'compound': 0.021190909090909097}"
A Force of One ,"{'neg': 0.09954545454545455, 'neu': 0.6412727272727273, 'pos': 0.2592727272727273, 'compound': 0.17323636363636366}"
Mako ,"{'neg': 0.0, 'neu': 0.8972499999999999, 'pos': 0.10275000000000001, 'compound': 0.239375}"
Laserblast ,"{'neg': 0.08970588235294119, 'neu': 0.6876470588235295, 'pos': 0.2225882352941177, 'compound': 0.08157647058823529}"
Do not waste your time ,"{'neg': 0.2045, 'neu': 0.6545, 'pos': 0.14150000000000001, 'compound': -0.1464}"
"Like Father, Like Son ","{'neg': 0.0526, 'neu': 0.7351, 'pos': 0.2123, 'compound': 0.28811}"
The Amityville ,"{'neg': 0.15492307692307694, 'neu': 0.7341538461538462, 'pos': 0.11084615384615383, 'compound': -0.06868461538461539}"
The Jesus Film ,"{'neg': 0.0, 'neu': 0.341, 'pos': 0.659, 'compound': 0.7003}"
Sergeant Matlovich vs. the U.S. Air Force ,"{'neg': 0.0, 'neu': 0.5313333333333333, 'pos': 0.46866666666666673, 'compound': 0.7128666666666668}"
Up! ,"{'neg': 0.10761538461538461, 'neu': 0.6970384615384616, 'pos': 0.1953461538461538, 'compound': 0.1983307692307692}"
Bare Knuckles ,"{'neg': 0.2545333333333334, 'neu': 0.639, 'pos': 0.10646666666666667, 'compound': -0.16466666666666666}"
Supersonic Man ,"{'neg': 0.09240000000000001, 'neu': 0.8358000000000001, 'pos': 0.0718, 'compound': -0.08558}"
Gator ,"{'neg': 0.06153125, 'neu': 0.691875, 'pos': 0.24665624999999997, 'compound': 0.23323437499999997}"
Allegro non troppo ,"{'neg': 0.02278947368421053, 'neu': 0.7185789473684212, 'pos': 0.2585789473684211, 'compound': 0.4392315789473684}"
Animalympics ,"{'neg': 0.0, 'neu': 0.47633333333333333, 'pos': 0.19033333333333333, 'compound': 0.3983666666666667}"
Blue Collar ,"{'neg': 0.13333333333333333, 'neu': 0.7204999999999999, 'pos': 0.14616666666666667, 'compound': -0.07910555555555555}"
Coach of the Year ,"{'neg': 0.07227272727272728, 'neu': 0.6645454545454546, 'pos': 0.26327272727272727, 'compound': 0.2541272727272727}"
W.W. and the Dixie Dancekings ,"{'neg': 0.022500000000000003, 'neu': 0.6763333333333335, 'pos': 0.30119999999999997, 'compound': 0.35738}"
Double Dare ,"{'neg': 0.0612, 'neu': 0.37020000000000003, 'pos': 0.5686, 'compound': 0.59192}"
A Matter of Time ,"{'neg': 0.08933333333333333, 'neu': 0.6246666666666667, 'pos': 0.2856666666666667, 'compound': 0.3875}"
Moving Violation ,"{'neg': 0.017, 'neu': 0.6829444444444444, 'pos': 0.30011111111111116, 'compound': 0.43753333333333333}"
The Devil's Rain ,"{'neg': 0.07817647058823529, 'neu': 0.7482941176470588, 'pos': 0.17358823529411765, 'compound': -0.015488235294117646}"
